URN,town,county,year,att8_score
139403,Lowestoft,SUFFOLK,2021-2022,43.3
137674,Ipswich,SUFFOLK,2021-2022,42.7
138506,Sudbury,SUFFOLK,2021-2022,40.1
146909,Lowestoft,SUFFOLK,2021-2022,40.1
137433,Bury St Edmunds,SUFFOLK,2021-2022,0
124889,Ipswich,SUFFOLK,2021-2022,58.8
143911,Sudbury,SUFFOLK,2021-2022,4.3
137849,Ipswich,SUFFOLK,2021-2022,51.1
124861,Bury St Edmunds,SUFFOLK,2021-2022,52.3
124868,Southwold,SUFFOLK,2021-2022,56.1
124883,Ipswich,SUFFOLK,2021-2022,50.6
136322,Haverhill,SUFFOLK,2021-2022,49.2
138274,Beccles,SUFFOLK,2021-2022,38.9
140047,Ixworth,SUFFOLK,2021-2022,42.5
138273,Saxmundham,SUFFOLK,2021-2022,36.9
137055,Beccles,SUFFOLK,2021-2022,48.8
124865,Sudbury,SUFFOLK,2021-2022,29.4
140032,Ipswich,SUFFOLK,2021-2022,38.2
141407,Ipswich,SUFFOLK,2021-2022,0.4
136757,Sudbury,SUFFOLK,2021-2022,52.2
145055,Stowmarket,SUFFOLK,2021-2022,44.4
143362,Stowmarket,SUFFOLK,2021-2022,46.3
137901,Eye,SUFFOLK,2021-2022,55
124870,Leiston,SUFFOLK,2021-2022,18.2
140969,Bury St. Edmunds,SUFFOLK,2021-2022,54.4
141639,Sudbury,SUFFOLK,2021-2022,49.1
136782,Woodbridge,SUFFOLK,2021-2022,49.7
124802,Bury St Edmunds,SUFFOLK,2021-2022,48
139288,Ipswich,SUFFOLK,2021-2022,45.3
148058,Suffolk,SUFFOLK,2021-2022,11
124887,Woodbridge,SUFFOLK,2021-2022,39.6
138758,Norwich,NORFOLK,2022-2023,45
135066,Norwich,NORFOLK,2022-2023,8.3
145089,Wells-next-the-Sea,NORFOLK,2022-2023,39.8
121250,Norwich,NORFOLK,2022-2023,18.1
140534,Attleborough,NORFOLK,2022-2023,45.9
121229,NA,NORFOLK,2022-2023,4.3
121164,Norwich,NORFOLK,2022-2023,52.3
146063,Norwich,NORFOLK,2022-2023,49
141331,Great Yarmouth,NORFOLK,2022-2023,42.6
135904,Norwich,NORFOLK,2022-2023,34
141269,Norwich,NORFOLK,2022-2023,50.6
140364,Great Yarmouth,NORFOLK,2022-2023,36.8
137431,Cromer,NORFOLK,2022-2023,48.4
144316,Dereham,NORFOLK,2022-2023,47.6
137092,Diss,NORFOLK,2022-2023,45.4
145196,Downham Market,NORFOLK,2022-2023,40.5
139099,Norwich,NORFOLK,2022-2023,7.4
139572,Fakenham,NORFOLK,2022-2023,38.2
145501,Great Yarmouth,NORFOLK,2022-2023,45
145776,Norwich,NORFOLK,2022-2023,51.4
135859,Norwich,NORFOLK,2022-2023,5.8
142883,Great Yarmouth,NORFOLK,2022-2023,40.7
121222,NA,NORFOLK,2022-2023,34
149197,Harleston,NORFOLK,2022-2023,43.7
138039,Norwich,NORFOLK,2022-2023,40.3
140188,Norwich,NORFOLK,2022-2023,54.2
142059,Norwich,NORFOLK,2022-2023,41.8
139311,Norwich,NORFOLK,2022-2023,49.1
139058,Thetford,NORFOLK,2022-2023,38.9
134440,Norfolk,NORFOLK,2022-2023,3.6
140815,Norwich,NORFOLK,2022-2023,48.3
148826,King's Lynn,NORFOLK,2022-2023,40.9
136202,King's Lynn,NORFOLK,2022-2023,36.2
121224,Norfolk,NORFOLK,2022-2023,42
146237,King's Lynn,NORFOLK,2022-2023,45.6
144018,Norwich,NORFOLK,2022-2023,46.9
137541,Great Yarmouth,NORFOLK,2022-2023,47.7
142396,Wisbech,NORFOLK,2022-2023,45.2
138918,Swaffham,NORFOLK,2022-2023,35.7
147505,North Walsham,NORFOLK,2022-2023,47.7
141268,Dereham,NORFOLK,2022-2023,42.6
121241,NA,NORFOLK,2022-2023,23
121242,Norwich,NORFOLK,2022-2023,12
137913,Norwich,NORFOLK,2022-2023,57.7
146144,Attleborough,NORFOLK,2022-2023,43.3
134455,Swaffham,NORFOLK,2022-2023,68.8
135650,Norwich,NORFOLK,2022-2023,35.3
136187,Gorleston,NORFOLK,2022-2023,43.6
136186,Norwich,NORFOLK,2022-2023,48
138829,Norwich,NORFOLK,2022-2023,43
121252,Cromer,NORFOLK,2022-2023,8.3
140557,King's Lynn,NORFOLK,2022-2023,42.1
142058,Norwich,NORFOLK,2022-2023,37.3
121246,Thetford,NORFOLK,2022-2023,1
137621,Sheringham,NORFOLK,2022-2023,44.5
143520,Hunstanton,NORFOLK,2022-2023,43.1
136515,King's Lynn,NORFOLK,2022-2023,44.1
144359,Norwich,NORFOLK,2022-2023,41.8
141395,Norwich,NORFOLK,2022-2023,42.9
139487,Norwich,NORFOLK,2022-2023,49.8
136204,Thetford,NORFOLK,2022-2023,42
121245,Thetford,NORFOLK,2022-2023,49.2
143278,Norwich,NORFOLK,2022-2023,52.4
141086,Norwich,NORFOLK,2022-2023,47.5
137949,Thetford,NORFOLK,2022-2023,44.7
138138,Terrington St Clement,NORFOLK,2022-2023,7.2
144769,Norwich,NORFOLK,2022-2023,14.9
136481,Wymondham,NORFOLK,2022-2023,53.9
137461,Wymondham,NORFOLK,2022-2023,52.3
141236,Leiston,SUFFOLK,2022-2023,35.9
137459,Lowestoft,SUFFOLK,2022-2023,0.7
142759,Lowestoft,SUFFOLK,2022-2023,43.2
124879,Halesworth,SUFFOLK,2022-2023,3.3
138250,Brandon,SUFFOLK,2022-2023,42.8
124893,Bury St Edmunds,SUFFOLK,2022-2023,1.8
136998,Bungay,SUFFOLK,2022-2023,45.1
136990,Bury St Edmunds,SUFFOLK,2022-2023,46.4
138162,Haverhill,SUFFOLK,2022-2023,43.8
124890,Ipswich,SUFFOLK,2022-2023,44.6
138373,Ipswich,SUFFOLK,2022-2023,34.6
139732,Haverhill,SUFFOLK,2022-2023,23.5
144214,Ipswich,SUFFOLK,2022-2023,45.6
136827,Ipswich,SUFFOLK,2022-2023,51
124886,Culford,SUFFOLK,2022-2023,32.3
136416,Stowmarket,SUFFOLK,2022-2023,55.6
137218,Colchester,SUFFOLK,2022-2023,44.9
137134,Lowestoft,SUFFOLK,2022-2023,44.9
136834,Woodbridge,SUFFOLK,2022-2023,48.1
124899,Felixstowe,SUFFOLK,2022-2023,22.2
137321,Felixstowe,SUFFOLK,2022-2023,39.1
124892,Stowmarket,SUFFOLK,2022-2023,43.4
124884,Woodbridge,SUFFOLK,2022-2023,6.7
136918,Ipswich,SUFFOLK,2022-2023,46.3
136271,Eye,SUFFOLK,2022-2023,52.5
137208,Ipswich,SUFFOLK,2022-2023,43.3
136453,Ipswich,SUFFOLK,2022-2023,34.7
124888,NA,SUFFOLK,2022-2023,44.5
124881,Ipswich,SUFFOLK,2022-2023,69.1
136969,Ipswich,SUFFOLK,2022-2023,47.9
124856,Bury St Edmunds,SUFFOLK,2022-2023,45.3
139867,Mildenhall,SUFFOLK,2022-2023,42
146332,Ipswich,SUFFOLK,2022-2023,8.3
140669,Newmarket,SUFFOLK,2022-2023,40.9
124840,Ipswich,SUFFOLK,2022-2023,49.6
127003,Mildenhall,SUFFOLK,2022-2023,6.9
134480,Colchester,SUFFOLK,2022-2023,59
139403,Lowestoft,SUFFOLK,2022-2023,36.2
137674,Ipswich,SUFFOLK,2022-2023,35.6
138506,Sudbury,SUFFOLK,2022-2023,35.8
146909,Lowestoft,SUFFOLK,2022-2023,36.1
137433,Bury St Edmunds,SUFFOLK,2022-2023,0.2
124889,Ipswich,SUFFOLK,2022-2023,55.1
137849,Ipswich,SUFFOLK,2022-2023,47.7
149285,Bury St Edmunds,SUFFOLK,2022-2023,53.2
124868,Southwold,SUFFOLK,2022-2023,41.9
124883,Ipswich,SUFFOLK,2022-2023,52.2
136322,Haverhill,SUFFOLK,2022-2023,44.6
138274,Beccles,SUFFOLK,2022-2023,28.4
140047,Ixworth,SUFFOLK,2022-2023,40.5
