price,transfer_date,postcode,property_type,town_city,district,county
235000,2025-03-26T00:00:00Z,CO6 4UU,T,COLCHESTER,BABERGH,SUFFOLK
205000,2025-08-21T00:00:00Z,PE38 9PY,S,DOWNHAM MARKET,KING'S LYNN AND WEST NORFOLK,NORFOLK
360000,2025-08-01T00:00:00Z,IP20 9AP,D,HARLESTON,SOUTH NORFOLK,NORFOLK
215000,2025-03-14T00:00:00Z,PE30 3DP,S,KING'S LYNN,KING'S LYNN AND WEST NORFOLK,NORFOLK
185000,2025-08-06T00:00:00Z,NR14 7QR,D,NORWICH,SOUTH NORFOLK,NORFOLK
350000,2025-07-16T00:00:00Z,NR10 3PZ,D,NORWICH,BROADLAND,NORFOLK
290000,2025-08-05T00:00:00Z,NR19 1AB,D,DEREHAM,BRECKLAND,NORFOLK
242379,2025-08-15T00:00:00Z,IP25 6HX,S,THETFORD,BRECKLAND,NORFOLK
440000,2025-08-28T00:00:00Z,NR6 7GP,D,NORWICH,BROADLAND,NORFOLK
318000,2025-09-16T00:00:00Z,NR6 7GP,S,NORWICH,BROADLAND,NORFOLK
337500,2025-08-07T00:00:00Z,NR6 7GF,D,NORWICH,BROADLAND,NORFOLK
310000,2025-09-17T00:00:00Z,NR6 7GL,S,NORWICH,BROADLAND,NORFOLK
382000,2025-09-01T00:00:00Z,NR15 1JB,D,NORWICH,SOUTH NORFOLK,NORFOLK
254500,2025-09-19T00:00:00Z,IP25 6HU,S,THETFORD,BRECKLAND,NORFOLK
400000,2025-09-12T00:00:00Z,PE32 1JW,D,KING'S LYNN,KING'S LYNN AND WEST NORFOLK,NORFOLK
140000,2025-08-29T00:00:00Z,PE14 0DU,S,WISBECH,KING'S LYNN AND WEST NORFOLK,NORFOLK
319950,2025-10-07T00:00:00Z,NR13 6TG,D,NORWICH,BROADLAND,NORFOLK
460000,2025-09-30T00:00:00Z,IP25 7BL,D,THETFORD,BRECKLAND,NORFOLK
390000,2025-08-26T00:00:00Z,NR6 7GL,D,NORWICH,BROADLAND,NORFOLK
405000,2025-08-28T00:00:00Z,NR6 7GJ,D,NORWICH,BROADLAND,NORFOLK
359950,2025-10-10T00:00:00Z,NR13 6LE,S,NORWICH,BROADLAND,NORFOLK
342500,2025-09-09T00:00:00Z,NR6 7GP,D,NORWICH,BROADLAND,NORFOLK
308453,2025-10-16T00:00:00Z,NR13 6LN,S,NORWICH,BROADLAND,NORFOLK
720000,2025-10-03T00:00:00Z,IP24 2SP,D,THETFORD,BRECKLAND,NORFOLK
308950,2025-10-23T00:00:00Z,NR13 6LN,D,NORWICH,BROADLAND,NORFOLK
307500,2025-09-30T00:00:00Z,NR6 7GN,T,NORWICH,BROADLAND,NORFOLK
485950,2025-10-17T00:00:00Z,NR13 6LE,D,NORWICH,BROADLAND,NORFOLK
235000,2025-07-17T00:00:00Z,IP25 6HX,S,THETFORD,BRECKLAND,NORFOLK
315000,2025-10-23T00:00:00Z,NR6 7GP,S,NORWICH,BROADLAND,NORFOLK
403500,2025-10-31T00:00:00Z,NR6 7GR,D,NORWICH,BROADLAND,NORFOLK
287500,2025-10-10T00:00:00Z,NR24 2NS,T,MELTON CONSTABLE,NORTH NORFOLK,NORFOLK
215000,2025-11-04T00:00:00Z,IP20 9JU,S,HARLESTON,SOUTH NORFOLK,NORFOLK
244500,2025-10-31T00:00:00Z,IP25 6HX,S,THETFORD,BRECKLAND,NORFOLK
282000,2025-10-31T00:00:00Z,NR6 7GP,S,NORWICH,BROADLAND,NORFOLK
215000,2025-08-15T00:00:00Z,IP4 5EP,T,IPSWICH,IPSWICH,SUFFOLK
227500,2025-09-25T00:00:00Z,IP1 5BT,S,IPSWICH,IPSWICH,SUFFOLK
232500,2025-06-02T00:00:00Z,NR32 4BN,S,LOWESTOFT,EAST SUFFOLK,SUFFOLK
415000,2025-06-27T00:00:00Z,IP32 7JF,D,BURY ST EDMUNDS,WEST SUFFOLK,SUFFOLK
185000,2025-06-26T00:00:00Z,IP1 5DE,T,IPSWICH,IPSWICH,SUFFOLK
300000,2025-06-19T00:00:00Z,CB8 0DZ,T,NEWMARKET,WEST SUFFOLK,SUFFOLK
132000,2025-07-14T00:00:00Z,IP3 8BX,S,IPSWICH,IPSWICH,SUFFOLK
150000,2025-06-27T00:00:00Z,CO10 7SA,T,SUDBURY,BABERGH,SUFFOLK
148000,2025-07-04T00:00:00Z,IP27 0AN,T,BRANDON,WEST SUFFOLK,SUFFOLK
130000,2025-07-07T00:00:00Z,CB9 9AD,T,HAVERHILL,WEST SUFFOLK,SUFFOLK
300000,2025-06-27T00:00:00Z,IP2 9TD,S,IPSWICH,IPSWICH,SUFFOLK
425000,2025-07-09T00:00:00Z,IP18 6LA,D,SOUTHWOLD,EAST SUFFOLK,SUFFOLK
290000,2025-06-11T00:00:00Z,IP33 1HA,S,BURY ST EDMUNDS,WEST SUFFOLK,SUFFOLK
276000,2025-06-27T00:00:00Z,IP1 4EH,T,IPSWICH,IPSWICH,SUFFOLK
237500,2025-02-07T00:00:00Z,CB8 0JS,T,NEWMARKET,WEST SUFFOLK,SUFFOLK
542836,2025-02-19T00:00:00Z,IP19 9AG,O,HALESWORTH,EAST SUFFOLK,SUFFOLK
1400000,2025-06-23T00:00:00Z,CO11 1QA,O,MANNINGTREE,BABERGH,SUFFOLK
360000,2025-05-02T00:00:00Z,CB8 0HZ,O,NEWMARKET,WEST SUFFOLK,SUFFOLK
560000,2025-01-31T00:00:00Z,IP28 6SS,O,BURY ST EDMUNDS,WEST SUFFOLK,SUFFOLK
113000,2025-04-04T00:00:00Z,NR32 5HS,O,LOWESTOFT,EAST SUFFOLK,SUFFOLK
65000,2025-02-07T00:00:00Z,NA,O,ALDEBURGH,EAST SUFFOLK,SUFFOLK
150000,2025-02-19T00:00:00Z,IP19 9AG,O,HALESWORTH,EAST SUFFOLK,SUFFOLK
222000,2025-06-27T00:00:00Z,IP8 3UD,S,IPSWICH,BABERGH,SUFFOLK
360000,2025-03-27T00:00:00Z,IP3 8AX,O,IPSWICH,IPSWICH,SUFFOLK
300000,2025-06-26T00:00:00Z,CB9 9PU,T,HAVERHILL,WEST SUFFOLK,SUFFOLK
875000,2025-02-04T00:00:00Z,IP23 7LX,O,EYE,MID SUFFOLK,SUFFOLK
141000,2025-06-17T00:00:00Z,IP2 0AH,S,IPSWICH,IPSWICH,SUFFOLK
220000,2025-03-17T00:00:00Z,IP17 1GD,T,SAXMUNDHAM,EAST SUFFOLK,SUFFOLK
210000,2025-07-04T00:00:00Z,NR33 8WJ,S,LOWESTOFT,EAST SUFFOLK,SUFFOLK
250000,2025-07-04T00:00:00Z,IP7 6DB,T,IPSWICH,BABERGH,SUFFOLK
275000,2025-05-02T00:00:00Z,CB8 7HG,D,NEWMARKET,WEST SUFFOLK,SUFFOLK
200000,2025-06-27T00:00:00Z,NA,O,WOODBRIDGE,EAST SUFFOLK,SUFFOLK
205000,2025-07-11T00:00:00Z,IP27 0XH,T,BRANDON,WEST SUFFOLK,SUFFOLK
99000,2025-07-25T00:00:00Z,NR32 2AL,T,LOWESTOFT,EAST SUFFOLK,SUFFOLK
128000,2025-07-14T00:00:00Z,IP3 0FG,F,IPSWICH,IPSWICH,SUFFOLK
240000,2025-07-11T00:00:00Z,IP6 8JJ,S,IPSWICH,MID SUFFOLK,SUFFOLK
660000,2025-10-10T00:00:00Z,IP30 9TD,D,BURY ST EDMUNDS,MID SUFFOLK,SUFFOLK
215000,2025-11-07T00:00:00Z,IP12 1QU,S,WOODBRIDGE,EAST SUFFOLK,SUFFOLK
865000,2025-10-31T00:00:00Z,CO6 4PJ,D,COLCHESTER,BABERGH,SUFFOLK
